scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,0,50
scene_home_full_shot,chr_illust_p,2,14,40
scene_home_bust_shot,chr_illust,-8,94,120
scene_home_bust_shot,chr_illust_p,14,168,110
scene_home_medium_shot,chr_illust,0,48,94
scene_home_medium_shot,chr_illust_p,18,120,80
scene_battle,chr_illust,-16,12,60
scene_battle,chr_illust_p,8,88,40
scene_purge4,chr_illust_p,4,40,80
scene_purge3,chr_illust_p,-8,2,80
scene_purge2,chr_illust_p,-18,0,80
scene_purge1,chr_illust_p,-2,42,80
scene_adv,chr_illust,-10,-200,98
scene_adv,chr_illust_p,16,-60,66
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,50
scene_gift,chr_illust,-4,-10,90
scene_syousai,chr_illust,-4,-10,90
scene_skill,chr_illust,8,32,100
scene_skill,chr_illust_p,18,150,74
scene_chr_episode,chr_illust,4,34,84
scene_gata_syousai,chr_illust,0,0,50
scene_gata_syousai,chr_illust_p,8,24,40
scene_battle_result_1,chr_illust,-18,42,100
scene_battle_result_2,chr_illust,-6,-6,90
scene_battle_result_3,chr_illust,2,-2,88
scene_battle_result_4,chr_illust,-2,0,88
scene_load,chr_illust,0,20,50
scene_kakusei,chr_illust,-4,-10,90
scene_login,chr_illust,-6,-10,90
scene_pvp_player,chr_illust,-4,30,100
scene_pvp_rival,chr_illust,-2,40,100
scene_pvp_result,chr_illust,-4,38,100
scene_pvp_result,chr_illust_p,18,174,70
