scene,layer,x,y,scale
scene_home_full_shot,chr_illust,14,16,50
scene_home_full_shot,chr_illust_p,14,16,50
scene_home_bust_shot,chr_illust,-14,88,120
scene_home_bust_shot,chr_illust_p,-14,88,120
scene_home_medium_shot,chr_illust,18,50,90
scene_home_medium_shot,chr_illust_p,18,50,90
scene_battle,chr_illust,0,46,50
scene_battle,chr_illust_p,0,48,50
scene_purge4,chr_illust_p,-6,-10,90
scene_purge3,chr_illust_p,-16,-40,90
scene_purge2,chr_illust_p,-8,-42,90
scene_purge1,chr_illust_p,-34,-14,90
scene_adv,chr_illust,-12,-214,100
scene_adv,chr_illust_p,-12,-214,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,0,-14,90
scene_syousai,chr_illust,0,-14,90
scene_skill,chr_illust,-4,26,100
scene_skill,chr_illust_p,-4,26,100
scene_chr_episode,chr_illust,2,10,90
scene_gata_syousai,chr_illust,20,20,50
scene_gata_syousai,chr_illust_p,20,20,50
scene_battle_result_1,chr_illust,-2,30,100
scene_battle_result_2,chr_illust,0,-32,94
scene_battle_result_3,chr_illust,-2,-36,96
scene_battle_result_4,chr_illust,0,-38,94
scene_load,chr_illust,-4,0,54
scene_kakusei,chr_illust,0,-14,90
scene_login,chr_illust,-4,-10,90
scene_pvp_player,chr_illust,0,18,100
scene_pvp_rival,chr_illust,-4,20,100
scene_pvp_result,chr_illust,-8,36,100
scene_pvp_result,chr_illust_p,-10,36,100
