scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-26,30,52
scene_home_full_shot,chr_illust_p,-26,30,52
scene_home_bust_shot,chr_illust,-96,120,124
scene_home_bust_shot,chr_illust_p,-96,120,124
scene_home_medium_shot,chr_illust,-56,80,94
scene_home_medium_shot,chr_illust_p,-56,80,94
scene_battle,chr_illust,-42,46,60
scene_battle,chr_illust_p,-42,46,60
scene_purge4,chr_illust_p,-74,-6,100
scene_purge3,chr_illust_p,-90,-18,100
scene_purge2,chr_illust_p,-70,-32,100
scene_purge1,chr_illust_p,-60,-22,94
scene_adv,chr_illust,-72,-162,100
scene_adv,chr_illust_p,-72,-162,100
scene_kakudai,chr_illust,-12,0,60
scene_kakudai,chr_illust_p,-12,0,60
scene_gift,chr_illust,-34,64,80
scene_syousai,chr_illust,-34,64,80
scene_skill,chr_illust,-58,92,94
scene_skill,chr_illust_p,-58,92,94
scene_chr_episode,chr_illust,-46,60,86
scene_gata_syousai,chr_illust,14,12,50
scene_gata_syousai,chr_illust_p,14,12,50
scene_battle_result_1,chr_illust,-60,92,94
scene_battle_result_2,chr_illust,-54,60,82
scene_battle_result_3,chr_illust,-58,60,82
scene_battle_result_4,chr_illust,-58,60,82
scene_load,chr_illust,-30,22,50
scene_kakusei,chr_illust,-34,64,80
scene_login,chr_illust,-54,70,80
scene_pvp_player,chr_illust,-92,90,96
scene_pvp_rival,chr_illust,-70,88,96
scene_pvp_result,chr_illust,-60,80,100
scene_pvp_result,chr_illust_p,-60,80,100
