scene,layer,x,y,scale
scene_home_full_shot,chr_illust,14,20,50
scene_home_full_shot,chr_illust_p,14,20,50
scene_home_bust_shot,chr_illust,54,58,120
scene_home_bust_shot,chr_illust_p,54,58,120
scene_home_medium_shot,chr_illust,48,30,90
scene_home_medium_shot,chr_illust_p,48,30,90
scene_battle,chr_illust,30,46,50
scene_battle,chr_illust_p,30,48,50
scene_purge4,chr_illust_p,68,-42,90
scene_purge3,chr_illust_p,40,-76,90
scene_purge2,chr_illust_p,40,-78,90
scene_purge1,chr_illust_p,32,-38,90
scene_adv,chr_illust,46,-240,100
scene_adv,chr_illust_p,46,-240,100
scene_kakudai,chr_illust,30,0,60
scene_kakudai,chr_illust_p,30,0,60
scene_gift,chr_illust,48,6,80
scene_syousai,chr_illust,48,6,80
scene_skill,chr_illust,44,-4,100
scene_skill,chr_illust_p,44,-4,100
scene_chr_episode,chr_illust,44,28,80
scene_gata_syousai,chr_illust,30,0,50
scene_gata_syousai,chr_illust_p,30,0,50
scene_battle_result_1,chr_illust,56,4,100
scene_battle_result_2,chr_illust,46,-18,86
scene_battle_result_3,chr_illust,50,-20,86
scene_battle_result_4,chr_illust,50,-18,86
scene_load,chr_illust,28,4,50
scene_kakusei,chr_illust,48,6,80
scene_login,chr_illust,46,8,80
scene_pvp_player,chr_illust,56,0,100
scene_pvp_rival,chr_illust,50,2,100
scene_pvp_result,chr_illust,56,6,100
scene_pvp_result,chr_illust_p,56,6,100
