scene,layer,x,y,scale
scene_home_full_shot,chr_illust,24,4,48
scene_home_full_shot,chr_illust_p,24,4,48
scene_home_bust_shot,chr_illust,-14,48,120
scene_home_bust_shot,chr_illust_p,-14,48,120
scene_home_medium_shot,chr_illust,38,20,90
scene_home_medium_shot,chr_illust_p,38,20,90
scene_battle,chr_illust,4,38,58
scene_battle,chr_illust_p,4,38,58
scene_purge4,chr_illust_p,34,-20,84
scene_purge3,chr_illust_p,12,-24,84
scene_purge2,chr_illust_p,14,-30,84
scene_purge1,chr_illust_p,28,-40,86
scene_adv,chr_illust,22,-204,90
scene_adv,chr_illust_p,22,-204,90
scene_kakudai,chr_illust,22,-4,60
scene_kakudai,chr_illust_p,22,-4,60
scene_gift,chr_illust,30,34,72
scene_syousai,chr_illust,30,34,72
scene_skill,chr_illust,26,44,90
scene_skill,chr_illust_p,26,44,90
scene_chr_episode,chr_illust,30,36,76
scene_gata_syousai,chr_illust,16,8,46
scene_gata_syousai,chr_illust_p,16,8,46
scene_battle_result_1,chr_illust,32,34,92
scene_battle_result_2,chr_illust,28,42,70
scene_battle_result_3,chr_illust,24,42,70
scene_battle_result_4,chr_illust,26,40,70
scene_load,chr_illust,24,16,46
scene_kakusei,chr_illust,30,34,72
scene_login,chr_illust,22,38,72
scene_pvp_player,chr_illust,30,40,90
scene_pvp_rival,chr_illust,28,40,90
scene_pvp_result,chr_illust,32,40,90
scene_pvp_result,chr_illust_p,32,40,90
