scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-6,-6,50
scene_home_full_shot,chr_illust_p,-6,-6,50
scene_home_bust_shot,chr_illust,-14,48,120
scene_home_bust_shot,chr_illust_p,-14,48,120
scene_home_medium_shot,chr_illust,-18,74,90
scene_home_medium_shot,chr_illust_p,-18,74,90
scene_battle,chr_illust,-10,46,50
scene_battle,chr_illust_p,-10,48,50
scene_purge4,chr_illust_p,-2,4,90
scene_purge3,chr_illust_p,-26,-28,90
scene_purge2,chr_illust_p,-20,-28,90
scene_purge1,chr_illust_p,-16,-8,90
scene_adv,chr_illust,-12,-172,100
scene_adv,chr_illust_p,-12,-172,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-6,62,76
scene_syousai,chr_illust,-6,62,76
scene_skill,chr_illust,-16,82,94
scene_skill,chr_illust_p,-16,82,94
scene_chr_episode,chr_illust,-4,70,76
scene_gata_syousai,chr_illust,-6,8,46
scene_gata_syousai,chr_illust_p,-6,8,46
scene_battle_result_1,chr_illust,-20,84,94
scene_battle_result_2,chr_illust,-8,66,74
scene_battle_result_3,chr_illust,-12,70,74
scene_battle_result_4,chr_illust,-8,66,74
scene_load,chr_illust,-6,2,48
scene_kakusei,chr_illust,-6,62,76
scene_login,chr_illust,-14,66,76
scene_pvp_player,chr_illust,-28,84,94
scene_pvp_rival,chr_illust,-10,84,94
scene_pvp_result,chr_illust,-18,84,94
scene_pvp_result,chr_illust_p,-18,84,94
