scene,layer,x,y,scale
scene_home_full_shot,chr_illust,8,10,50
scene_home_full_shot,chr_illust_p,8,10,50
scene_home_bust_shot,chr_illust,-46,162,98
scene_home_bust_shot,chr_illust_p,-46,162,98
scene_home_medium_shot,chr_illust,-20,22,94
scene_home_medium_shot,chr_illust_p,-20,22,94
scene_battle,chr_illust,-6,6,62
scene_battle,chr_illust_p,-6,6,62
scene_purge4,chr_illust_p,-4,-34,88
scene_purge3,chr_illust_p,-30,-90,100
scene_purge2,chr_illust_p,-22,-94,100
scene_purge1,chr_illust_p,-10,-74,100
scene_adv,chr_illust,-16,-228,100
scene_adv,chr_illust_p,-16,-228,100
scene_kakudai,chr_illust,-8,0,60
scene_kakudai,chr_illust_p,-8,0,60
scene_gift,chr_illust,-2,10,82
scene_syousai,chr_illust,-2,10,82
scene_skill,chr_illust,-10,20,100
scene_skill,chr_illust_p,-10,20,100
scene_chr_episode,chr_illust,0,18,84
scene_gata_syousai,chr_illust,6,12,50
scene_gata_syousai,chr_illust_p,6,12,50
scene_battle_result_1,chr_illust,-8,30,98
scene_battle_result_2,chr_illust,-8,10,82
scene_battle_result_3,chr_illust,-16,8,82
scene_battle_result_4,chr_illust,-10,4,82
scene_load,chr_illust,0,8,50
scene_kakusei,chr_illust,-2,10,82
scene_login,chr_illust,-4,18,80
scene_pvp_player,chr_illust,-10,20,100
scene_pvp_rival,chr_illust,-10,24,100
scene_pvp_result,chr_illust,-4,20,100
scene_pvp_result,chr_illust_p,-4,20,100
