scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,6,50
scene_home_full_shot,chr_illust_p,28,16,48
scene_home_bust_shot,chr_illust,-30,36,124
scene_home_bust_shot,chr_illust_p,44,50,120
scene_home_medium_shot,chr_illust,-4,30,90
scene_home_medium_shot,chr_illust_p,50,30,88
scene_battle,chr_illust,-4,16,58
scene_battle,chr_illust_p,24,16,58
scene_purge4,chr_illust_p,-6,-10,76
scene_purge3,chr_illust_p,-10,-46,86
scene_purge2,chr_illust_p,10,-46,86
scene_purge1,chr_illust_p,0,-48,86
scene_adv,chr_illust,-12,-238,100
scene_adv,chr_illust_p,40,-236,100
scene_kakudai,chr_illust,2,-2,60
scene_kakudai,chr_illust_p,8,0,60
scene_gift,chr_illust,2,16,78
scene_syousai,chr_illust,2,16,78
scene_skill,chr_illust,-14,14,100
scene_skill,chr_illust_p,30,26,98
scene_chr_episode,chr_illust,0,18,82
scene_gata_syousai,chr_illust,0,6,50
scene_gata_syousai,chr_illust_p,28,2,50
scene_battle_result_1,chr_illust,-4,26,98
scene_battle_result_2,chr_illust,-6,30,76
scene_battle_result_3,chr_illust,-6,30,76
scene_battle_result_4,chr_illust,0,30,76
scene_load,chr_illust,-2,16,48
scene_kakusei,chr_illust,2,16,78
scene_login,chr_illust,-4,20,78
scene_pvp_player,chr_illust,-6,26,96
scene_pvp_rival,chr_illust,-8,30,96
scene_pvp_result,chr_illust,-2,36,94
scene_pvp_result,chr_illust_p,52,50,90
