scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,0,50
scene_home_full_shot,chr_illust_p,34,0,50
scene_home_bust_shot,chr_illust,-20,50,120
scene_home_bust_shot,chr_illust_p,54,48,120
scene_home_medium_shot,chr_illust,0,38,90
scene_home_medium_shot,chr_illust_p,48,30,90
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,66,-42,94
scene_purge3,chr_illust_p,38,-62,94
scene_purge2,chr_illust_p,40,-72,94
scene_purge1,chr_illust_p,60,-58,94
scene_adv,chr_illust,-2,-234,100
scene_adv,chr_illust_p,74,-230,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,20,10,80
scene_syousai,chr_illust,20,10,80
scene_skill,chr_illust,-2,22,100
scene_skill,chr_illust_p,88,32,100
scene_chr_episode,chr_illust,10,-10,90
scene_gata_syousai,chr_illust,0,0,50
scene_gata_syousai,chr_illust_p,38,0,50
scene_battle_result_1,chr_illust,-8,16,100
scene_battle_result_2,chr_illust,-8,14,80
scene_battle_result_3,chr_illust,-6,14,80
scene_battle_result_4,chr_illust,0,16,80
scene_load,chr_illust,-4,6,50
scene_kakusei,chr_illust,20,10,80
scene_login,chr_illust,-8,12,80
scene_pvp_player,chr_illust,0,18,100
scene_pvp_rival,chr_illust,2,20,100
scene_pvp_result,chr_illust,4,12,100
scene_pvp_result,chr_illust_p,74,22,100
