scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,0,50
scene_home_full_shot,chr_illust_p,-6,0,50
scene_home_bust_shot,chr_illust,0,102,120
scene_home_bust_shot,chr_illust_p,16,140,120
scene_home_medium_shot,chr_illust,0,50,94
scene_home_medium_shot,chr_illust_p,8,110,90
scene_battle,chr_illust,0,10,60
scene_battle,chr_illust_p,-18,66,50
scene_purge4,chr_illust_p,-6,64,80
scene_purge3,chr_illust_p,-16,28,80
scene_purge2,chr_illust_p,-16,30,80
scene_purge1,chr_illust_p,0,36,80
scene_adv,chr_illust,0,-194,100
scene_adv,chr_illust_p,-32,-120,94
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,18,0,90
scene_syousai,chr_illust,18,0,90
scene_skill,chr_illust,6,36,100
scene_skill,chr_illust_p,-22,136,90
scene_chr_episode,chr_illust,20,18,90
scene_gata_syousai,chr_illust,10,10,50
scene_gata_syousai,chr_illust_p,0,10,50
scene_battle_result_1,chr_illust,14,36,100
scene_battle_result_2,chr_illust,12,10,86
scene_battle_result_3,chr_illust,12,10,86
scene_battle_result_4,chr_illust,14,6,86
scene_load,chr_illust,-2,18,52
scene_kakusei,chr_illust,18,0,90
scene_login,chr_illust,14,44,80
scene_pvp_player,chr_illust,14,38,100
scene_pvp_rival,chr_illust,20,36,100
scene_pvp_result,chr_illust,18,50,100
scene_pvp_result,chr_illust_p,-16,132,90
