scene,layer,x,y,scale
scene_home_full_shot,chr_illust,30,14,52
scene_home_full_shot,chr_illust_p,16,2,50
scene_home_bust_shot,chr_illust,-6,-64,152
scene_home_bust_shot,chr_illust_p,-90,-10,136
scene_home_medium_shot,chr_illust,0,10,100
scene_home_medium_shot,chr_illust_p,-58,-8,100
scene_battle,chr_illust,-8,-50,74
scene_battle,chr_illust_p,-38,8,60
scene_purge4,chr_illust_p,-84,-32,94
scene_purge3,chr_illust_p,-100,-76,100
scene_purge2,chr_illust_p,-98,-100,104
scene_purge1,chr_illust_p,-74,-92,100
scene_adv,chr_illust,-20,-220,100
scene_adv,chr_illust_p,-76,-206,94
scene_kakudai,chr_illust,2,6,60
scene_kakudai,chr_illust_p,-32,0,60
scene_gift,chr_illust,-4,-58,100
scene_syousai,chr_illust,-4,-58,100
scene_skill,chr_illust,16,24,100
scene_skill,chr_illust_p,-38,8,96
scene_chr_episode,chr_illust,0,-40,98
scene_gata_syousai,chr_illust,14,8,52
scene_gata_syousai,chr_illust_p,-17,4,50
scene_battle_result_1,chr_illust,0,20,100
scene_battle_result_2,chr_illust,-10,-48,100
scene_battle_result_3,chr_illust,-14,-48,100
scene_battle_result_4,chr_illust,-4,-52,100
scene_load,chr_illust,-10,-2,54
scene_kakusei,chr_illust,-4,-58,100
scene_login,chr_illust,-10,-30,94
scene_pvp_player,chr_illust,-12,18,100
scene_pvp_rival,chr_illust,-12,20,100
scene_pvp_result,chr_illust,-10,26,100
scene_pvp_result,chr_illust_p,-72,14,100
