scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-12,10,48
scene_home_full_shot,chr_illust_p,-14,20,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-12,92,80
scene_home_medium_shot,chr_illust_p,0,124,74
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-2,70,70
scene_purge3,chr_illust_p,-26,56,74
scene_purge2,chr_illust_p,-36,12,80
scene_purge1,chr_illust_p,-24,6,80
scene_adv,chr_illust,-12,-138,82
scene_adv,chr_illust_p,16,-108,78
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-6,70,70
scene_syousai,chr_illust,-6,70,70
scene_skill,chr_illust,-12,100,84
scene_skill,chr_illust_p,8,128,80
scene_chr_episode,chr_illust,-8,84,70
scene_gata_syousai,chr_illust,-2,20,42
scene_gata_syousai,chr_illust_p,6,40,38
scene_battle_result_1,chr_illust,-18,114,82
scene_battle_result_2,chr_illust,0,80,66
scene_battle_result_3,chr_illust,-10,82,66
scene_battle_result_4,chr_illust,-4,82,66
scene_load,chr_illust,-6,36,44
scene_kakusei,chr_illust,-6,70,70
scene_login,chr_illust,-10,80,68
scene_pvp_player,chr_illust,-22,100,82
scene_pvp_rival,chr_illust,-12,108,82
scene_pvp_result,chr_illust,-12,104,84
scene_pvp_result,chr_illust_p,20,136,80
