scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,0,50
scene_home_full_shot,chr_illust_p,-6,0,50
scene_home_bust_shot,chr_illust,2,166,120
scene_home_bust_shot,chr_illust_p,-48,134,120
scene_home_medium_shot,chr_illust,0,98,100
scene_home_medium_shot,chr_illust_p,-26,104,90
scene_battle,chr_illust,-4,50,60
scene_battle,chr_illust_p,-26,28,60
scene_purge4,chr_illust_p,-8,18,90
scene_purge3,chr_illust_p,-42,-18,90
scene_purge2,chr_illust_p,-30,-18,90
scene_purge1,chr_illust_p,-22,6,90
scene_adv,chr_illust,-42,-128,100
scene_adv,chr_illust_p,-68,-170,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,54
scene_gift,chr_illust,-28,56,90
scene_syousai,chr_illust,-28,56,90
scene_skill,chr_illust,-14,106,100
scene_skill,chr_illust_p,-44,72,100
scene_chr_episode,chr_illust,-22,76,90
scene_gata_syousai,chr_illust,12,24,50
scene_gata_syousai,chr_illust_p,24,20,50
scene_battle_result_1,chr_illust,-23,114,100
scene_battle_result_2,chr_illust,-18,58,90
scene_battle_result_3,chr_illust,-24,56,90
scene_battle_result_4,chr_illust,-28,54,90
scene_load,chr_illust,-16,58,50
scene_kakusei,chr_illust,-28,56,90
scene_login,chr_illust,-28,96,80
scene_pvp_player,chr_illust,-32,104,100
scene_pvp_rival,chr_illust,-26,104,100
scene_pvp_result,chr_illust,-34,112,100
scene_pvp_result,chr_illust_p,-56,68,100
