scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,0,50
scene_home_full_shot,chr_illust_p,-6,0,50
scene_home_bust_shot,chr_illust,0,38,120
scene_home_bust_shot,chr_illust_p,2,98,120
scene_home_medium_shot,chr_illust,0,0,94
scene_home_medium_shot,chr_illust_p,2,90,82
scene_battle,chr_illust,4,-6,60
scene_battle,chr_illust_p,-14,50,50
scene_purge4,chr_illust_p,-2,30,80
scene_purge3,chr_illust_p,0,-2,80
scene_purge2,chr_illust_p,0,-2,80
scene_purge1,chr_illust_p,-8,16,80
scene_adv,chr_illust,-8,-254,100
scene_adv,chr_illust_p,-12,-102,76
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,0,0,80
scene_syousai,chr_illust,0,0,80
scene_skill,chr_illust,2,-8,100
scene_skill,chr_illust_p,10,108,84
scene_chr_episode,chr_illust,0,0,84
scene_gata_syousai,chr_illust,0,0,50
scene_gata_syousai,chr_illust_p,18,12,44
scene_battle_result_1,chr_illust,4,-4,100
scene_battle_result_2,chr_illust,-2,-8,82
scene_battle_result_3,chr_illust,2,-10,82
scene_battle_result_4,chr_illust,6,-12,82
scene_load,chr_illust,0,0,50
scene_kakusei,chr_illust,0,0,80
scene_login,chr_illust,0,0,80
scene_pvp_player,chr_illust,2,-8,100
scene_pvp_rival,chr_illust,0,-4,100
scene_pvp_result,chr_illust,0,0,100
scene_pvp_result,chr_illust_p,-10,124,80
