scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-6,10,50
scene_home_full_shot,chr_illust_p,-2,10,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-16,22,96
scene_home_medium_shot,chr_illust_p,-24,82,84
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,0,22,80
scene_purge3,chr_illust_p,-22,0,84
scene_purge2,chr_illust_p,-10,-4,86
scene_purge1,chr_illust_p,-16,-14,90
scene_adv,chr_illust,-10,-214,100
scene_adv,chr_illust_p,-8,-156,88
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,-12,6,86
scene_syousai,chr_illust,-12,6,86
scene_skill,chr_illust,-10,30,100
scene_skill,chr_illust_p,-6,96,86
scene_chr_episode,chr_illust,-10,16,88
scene_gata_syousai,chr_illust,-6,10,52
scene_gata_syousai,chr_illust_p,0,32,48
scene_battle_result_1,chr_illust,-20,32,100
scene_battle_result_2,chr_illust,-8,8,86
scene_battle_result_3,chr_illust,-2,6,86
scene_battle_result_4,chr_illust,-6,6,86
scene_load,chr_illust,-2,4,54
scene_kakusei,chr_illust,-12,6,86
scene_login,chr_illust,-16,10,86
scene_pvp_player,chr_illust,-18,34,100
scene_pvp_rival,chr_illust,-20,34,100
scene_pvp_result,chr_illust,-12,32,100
scene_pvp_result,chr_illust_p,0,92,88
