scene,layer,x,y,scale
scene_home_full_shot,chr_illust,2,0,50
scene_home_full_shot,chr_illust_p,2,0,50
scene_home_bust_shot,chr_illust,-14,48,120
scene_home_bust_shot,chr_illust_p,-14,48,120
scene_home_medium_shot,chr_illust,16,10,100
scene_home_medium_shot,chr_illust_p,16,10,100
scene_battle,chr_illust,-10,46,50
scene_battle,chr_illust_p,-10,48,50
scene_purge4,chr_illust_p,14,-70,100
scene_purge3,chr_illust_p,-4,-72,100
scene_purge2,chr_illust_p,-8,-74,100
scene_purge1,chr_illust_p,14,-44,90
scene_adv,chr_illust,10,-220,100
scene_adv,chr_illust_p,10,-220,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,14,-4,88
scene_syousai,chr_illust,14,-4,88
scene_skill,chr_illust,8,30,100
scene_skill,chr_illust_p,8,30,100
scene_chr_episode,chr_illust,6,6,80
scene_gata_syousai,chr_illust,4,6,50
scene_gata_syousai,chr_illust_p,4,6,50
scene_battle_result_1,chr_illust,12,28,100
scene_battle_result_2,chr_illust,16,-12,92
scene_battle_result_3,chr_illust,16,-6,90
scene_battle_result_4,chr_illust,14,-8,90
scene_load,chr_illust,4,10,50
scene_kakusei,chr_illust,14,-4,88
scene_login,chr_illust,6,0,90
scene_pvp_player,chr_illust,8,32,100
scene_pvp_rival,chr_illust,8,34,100
scene_pvp_result,chr_illust,16,40,100
scene_pvp_result,chr_illust_p,16,40,100
