scene,layer,x,y,scale
scene_home_full_shot,chr_illust,14,30,50
scene_home_full_shot,chr_illust_p,14,30,50
scene_home_bust_shot,chr_illust,14,108,120
scene_home_bust_shot,chr_illust_p,14,108,120
scene_home_medium_shot,chr_illust,8,70,90
scene_home_medium_shot,chr_illust_p,8,70,90
scene_battle,chr_illust,0,76,50
scene_battle,chr_illust_p,0,78,50
scene_purge4,chr_illust_p,42,-2,90
scene_purge3,chr_illust_p,34,-38,90
scene_purge2,chr_illust_p,44,-40,90
scene_purge1,chr_illust_p,36,12,90
scene_adv,chr_illust,22,-192,100
scene_adv,chr_illust_p,22,-192,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,28,42,80
scene_syousai,chr_illust,28,42,80
scene_skill,chr_illust,28,56,100
scene_skill,chr_illust_p,28,56,100
scene_chr_episode,chr_illust,30,26,90
scene_gata_syousai,chr_illust,30,20,50
scene_gata_syousai,chr_illust_p,30,20,50
scene_battle_result_1,chr_illust,36,48,100
scene_battle_result_2,chr_illust,24,34,82
scene_battle_result_3,chr_illust,24,36,82
scene_battle_result_4,chr_illust,28,34,82
scene_load,chr_illust,6,32,50
scene_kakusei,chr_illust,28,42,80
scene_login,chr_illust,18,50,80
scene_pvp_player,chr_illust,22,52,100
scene_pvp_rival,chr_illust,34,52,100
scene_pvp_result,chr_illust,26,58,100
scene_pvp_result,chr_illust_p,26,54,100
