scene,layer,x,y,scale
scene_home_full_shot,chr_illust,48,30,52
scene_home_full_shot,chr_illust_p,48,30,52
scene_home_bust_shot,chr_illust,100,48,138
scene_home_bust_shot,chr_illust_p,100,48,138
scene_home_medium_shot,chr_illust,88,40,100
scene_home_medium_shot,chr_illust_p,88,40,100
scene_battle,chr_illust,52,12,60
scene_battle,chr_illust_p,52,12,60
scene_purge4,chr_illust_p,106,-28,100
scene_purge3,chr_illust_p,82,-38,100
scene_purge2,chr_illust_p,80,-32,100
scene_purge1,chr_illust_p,74,-38,94
scene_adv,chr_illust,98,-180,100
scene_adv,chr_illust_p,98,-180,100
scene_kakudai,chr_illust,58,8,60
scene_kakudai,chr_illust_p,58,8,60
scene_gift,chr_illust,92,32,84
scene_syousai,chr_illust,92,32,84
scene_skill,chr_illust,106,56,100
scene_skill,chr_illust_p,106,56,100
scene_chr_episode,chr_illust,96,34,90
scene_gata_syousai,chr_illust,72,18,50
scene_gata_syousai,chr_illust_p,72,18,50
scene_battle_result_1,chr_illust,98,64,100
scene_battle_result_2,chr_illust,90,32,86
scene_battle_result_3,chr_illust,84,34,86
scene_battle_result_4,chr_illust,82,32,86
scene_load,chr_illust,50,16,54
scene_kakusei,chr_illust,92,32,84
scene_login,chr_illust,76,20,90
scene_pvp_player,chr_illust,92,66,100
scene_pvp_rival,chr_illust,96,60,100
scene_pvp_result,chr_illust,110,66,100
scene_pvp_result,chr_illust_p,110,66,100
