scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-2,8,48
scene_home_full_shot,chr_illust_p,-6,6,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-8,50,88
scene_home_medium_shot,chr_illust_p,-20,42,88
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-6,24,76
scene_purge3,chr_illust_p,-32,6,78
scene_purge2,chr_illust_p,-34,4,78
scene_purge1,chr_illust_p,-16,6,78
scene_adv,chr_illust,-4,-178,92
scene_adv,chr_illust_p,0,-206,94
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,0,58,72
scene_syousai,chr_illust,0,58,72
scene_skill,chr_illust,-6,66,92
scene_skill,chr_illust_p,0,44,94
scene_chr_episode,chr_illust,4,64,76
scene_gata_syousai,chr_illust,-2,14,46
scene_gata_syousai,chr_illust_p,0,16,44
scene_battle_result_1,chr_illust,-6,66,94
scene_battle_result_2,chr_illust,-10,58,72
scene_battle_result_3,chr_illust,-16,62,72
scene_battle_result_4,chr_illust,-8,70,70
scene_load,chr_illust,-4,34,46
scene_kakusei,chr_illust,0,58,72
scene_login,chr_illust,-4,64,72
scene_pvp_player,chr_illust,-18,68,92
scene_pvp_rival,chr_illust,0,64,92
scene_pvp_result,chr_illust,-14,66,92
scene_pvp_result,chr_illust_p,-2,50,94
