scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-36,-4,58
scene_home_full_shot,chr_illust_p,-36,-4,58
scene_home_bust_shot,chr_illust,-14,48,100
scene_home_bust_shot,chr_illust_p,-14,48,100
scene_home_medium_shot,chr_illust,-66,76,100
scene_home_medium_shot,chr_illust_p,-66,76,100
scene_battle,chr_illust,-10,46,50
scene_battle,chr_illust_p,-10,48,50
scene_purge4,chr_illust_p,-68,-2,100
scene_purge3,chr_illust_p,-106,-12,100
scene_purge2,chr_illust_p,-78,0,100
scene_purge1,chr_illust_p,-58,-12,100
scene_adv,chr_illust,-6,-96,100
scene_adv,chr_illust_p,-6,-96,100
scene_kakudai,chr_illust,-36,-8,70
scene_kakudai,chr_illust_p,-36,-8,70
scene_gift,chr_illust,-56,18,100
scene_syousai,chr_illust,-56,18,100
scene_skill,chr_illust,-64,86,100
scene_skill,chr_illust_p,-64,86,100
scene_chr_episode,chr_illust,-62,34,100
scene_gata_syousai,chr_illust,-32,12,56
scene_gata_syousai,chr_illust_p,-32,12,56
scene_battle_result_1,chr_illust,-60,98,100
scene_battle_result_2,chr_illust,-54,22,100
scene_battle_result_3,chr_illust,-54,16,100
scene_battle_result_4,chr_illust,-56,14,100
scene_load,chr_illust,-34,8,64
scene_kakusei,chr_illust,-56,18,100
scene_login,chr_illust,-60,24,100
scene_pvp_player,chr_illust,-70,108,100
scene_pvp_rival,chr_illust,-62,112,100
scene_pvp_result,chr_illust,-58,104,100
scene_pvp_result,chr_illust_p,-58,104,100
