scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-6,6,48
scene_home_full_shot,chr_illust_p,-6,14,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-10,18,96
scene_home_medium_shot,chr_illust_p,-12,28,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,0,-50,100
scene_purge3,chr_illust_p,-30,-54,100
scene_purge2,chr_illust_p,-26,-54,100
scene_purge1,chr_illust_p,-8,-60,100
scene_adv,chr_illust,-4,-214,100
scene_adv,chr_illust_p,-6,-196,100
scene_kakudai,chr_illust,-6,0,60
scene_kakudai,chr_illust_p,-6,6,60
scene_gift,chr_illust,4,8,84
scene_syousai,chr_illust,4,8,84
scene_skill,chr_illust,-10,24,100
scene_skill,chr_illust_p,-10,44,100
scene_chr_episode,chr_illust,4,6,90
scene_gata_syousai,chr_illust,-2,16,48
scene_gata_syousai,chr_illust_p,-4,20,50
scene_battle_result_1,chr_illust,4,32,100
scene_battle_result_2,chr_illust,-6,16,82
scene_battle_result_3,chr_illust,-4,14,82
scene_battle_result_4,chr_illust,-4,14,82
scene_load,chr_illust,0,8,52
scene_kakusei,chr_illust,4,8,84
scene_login,chr_illust,-2,18,82
scene_pvp_player,chr_illust,-2,26,100
scene_pvp_rival,chr_illust,2,26,100
scene_pvp_result,chr_illust,2,26,100
scene_pvp_result,chr_illust_p,-6,46,100
