scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,16,50
scene_home_full_shot,chr_illust_p,-16,0,52
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-38,80,100
scene_home_medium_shot,chr_illust_p,-78,84,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-38,28,100
scene_purge3,chr_illust_p,-60,8,100
scene_purge2,chr_illust_p,-52,12,100
scene_purge1,chr_illust_p,-38,10,100
scene_adv,chr_illust,-18,-146,100
scene_adv,chr_illust_p,-60,-134,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,-6,36,94
scene_syousai,chr_illust,-6,36,94
scene_skill,chr_illust,-20,106,100
scene_skill,chr_illust_p,-50,110,100
scene_chr_episode,chr_illust,0,60,94
scene_gata_syousai,chr_illust,10,36,52
scene_gata_syousai,chr_illust_p,-10,0,58
scene_battle_result_1,chr_illust,-38,116,100
scene_battle_result_2,chr_illust,-22,42,96
scene_battle_result_3,chr_illust,-16,42,96
scene_battle_result_4,chr_illust,-10,40,96
scene_load,chr_illust,-10,20,58
scene_kakusei,chr_illust,-6,36,94
scene_login,chr_illust,-20,58,94
scene_pvp_player,chr_illust,-20,98,100
scene_pvp_rival,chr_illust,-10,100,100
scene_pvp_result,chr_illust,-18,98,100
scene_pvp_result,chr_illust_p,-58,102,100
