scene,layer,x,y,scale
scene_home_full_shot,chr_illust,14,10,50
scene_home_full_shot,chr_illust_p,14,10,50
scene_home_bust_shot,chr_illust,-14,48,120
scene_home_bust_shot,chr_illust_p,-14,48,120
scene_home_medium_shot,chr_illust,-12,40,90
scene_home_medium_shot,chr_illust_p,-12,40,90
scene_battle,chr_illust,-10,0,60
scene_battle,chr_illust_p,-10,2,60
scene_purge4,chr_illust_p,-16,-14,90
scene_purge3,chr_illust_p,-18,-46,90
scene_purge2,chr_illust_p,-20,-48,90
scene_purge1,chr_illust_p,-16,-44,90
scene_adv,chr_illust,-18,-226,100
scene_adv,chr_illust_p,-18,-226,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-4,-18,90
scene_syousai,chr_illust,-4,-18,90
scene_skill,chr_illust,-8,22,100
scene_skill,chr_illust_p,-8,22,100
scene_chr_episode,chr_illust,0,-2,90
scene_gata_syousai,chr_illust,0,0,50
scene_gata_syousai,chr_illust_p,0,0,50
scene_battle_result_1,chr_illust,-12,20,100
scene_battle_result_2,chr_illust,-8,-6,88
scene_battle_result_3,chr_illust,-10,-6,88
scene_battle_result_4,chr_illust,-2,-6,88
scene_load,chr_illust,-4,0,54
scene_kakusei,chr_illust,-4,-18,90
scene_login,chr_illust,-4,6,84
scene_pvp_player,chr_illust,-10,22,100
scene_pvp_rival,chr_illust,-8,20,100
scene_pvp_result,chr_illust,-4,28,100
scene_pvp_result,chr_illust_p,-6,28,100
