scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,-12,60
scene_home_full_shot,chr_illust_p,-14,12,56
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,0,34,100
scene_home_medium_shot,chr_illust_p,-26,68,96
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,6,-14,100
scene_purge3,chr_illust_p,-8,-16,100
scene_purge2,chr_illust_p,-6,-20,100
scene_purge1,chr_illust_p,-8,-14,100
scene_adv,chr_illust,12,-196,100
scene_adv,chr_illust_p,-12,-158,96
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,0,-26,100
scene_syousai,chr_illust,0,-26,100
scene_skill,chr_illust,-4,58,100
scene_skill,chr_illust_p,-30,84,100
scene_chr_episode,chr_illust,2,-10,100
scene_gata_syousai,chr_illust,-2,4,56
scene_gata_syousai,chr_illust_p,-16,18,52
scene_battle_result_1,chr_illust,-6,42,100
scene_battle_result_2,chr_illust,2,-16,100
scene_battle_result_3,chr_illust,2,-18,100
scene_battle_result_4,chr_illust,8,-22,100
scene_load,chr_illust,0,-6,58
scene_kakusei,chr_illust,0,-26,100
scene_login,chr_illust,0,-14,100
scene_pvp_player,chr_illust,-2,56,100
scene_pvp_rival,chr_illust,-2,56,100
scene_pvp_result,chr_illust,-2,54,100
scene_pvp_result,chr_illust_p,-28,94,94
