scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-22,0,52
scene_home_full_shot,chr_illust_p,-74,10,52
scene_home_bust_shot,chr_illust,0,0,130
scene_home_bust_shot,chr_illust_p,14,38,120
scene_home_medium_shot,chr_illust,-54,26,100
scene_home_medium_shot,chr_illust_p,-162,42,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-76,-6,90
scene_purge3,chr_illust_p,-98,-10,92
scene_purge2,chr_illust_p,-82,-24,96
scene_purge1,chr_illust_p,-116,-18,94
scene_adv,chr_illust,-44,-198,100
scene_adv,chr_illust_p,-152,-180,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-46,24,84
scene_syousai,chr_illust,-46,24,84
scene_skill,chr_illust,-60,44,100
scene_skill,chr_illust_p,-168,60,100
scene_chr_episode,chr_illust,-48,20,90
scene_gata_syousai,chr_illust,-30,14,50
scene_gata_syousai,chr_illust_p,-82,24,50
scene_battle_result_1,chr_illust,-56,48,100
scene_battle_result_2,chr_illust,-44,24,84
scene_battle_result_3,chr_illust,-36,24,84
scene_battle_result_4,chr_illust,-30,22,84
scene_load,chr_illust,-30,16,52
scene_kakusei,chr_illust,-46,24,84
scene_login,chr_illust,-42,24,84
scene_pvp_player,chr_illust,-60,44,100
scene_pvp_rival,chr_illust,-56,42,100
scene_pvp_result,chr_illust,-56,42,100
scene_pvp_result,chr_illust_p,-164,60,100
