scene,layer,x,y,scale
scene_home_full_shot,chr_illust,50,16,58
scene_home_full_shot,chr_illust_p,-18,-20,56
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,80,80,100
scene_home_medium_shot,chr_illust_p,-30,96,92
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,0,-16,100
scene_purge3,chr_illust_p,-30,-14,100
scene_purge2,chr_illust_p,-20,-22,100
scene_purge1,chr_illust_p,2,-12,100
scene_adv,chr_illust,102,-146,100
scene_adv,chr_illust_p,4,-144,98
scene_kakudai,chr_illust,0,12,70
scene_kakudai,chr_illust_p,0,-18,68
scene_gift,chr_illust,104,20,100
scene_syousai,chr_illust,104,20,100
scene_skill,chr_illust,100,90,100
scene_skill,chr_illust_p,-4,96,100
scene_chr_episode,chr_illust,102,42,100
scene_gata_syousai,chr_illust,58,22,60
scene_gata_syousai,chr_illust_p,-6,4,56
scene_battle_result_1,chr_illust,92,98,100
scene_battle_result_2,chr_illust,96,26,100
scene_battle_result_3,chr_illust,88,30,100
scene_battle_result_4,chr_illust,88,28,100
scene_load,chr_illust,66,-4,70
scene_kakusei,chr_illust,104,20,100
scene_login,chr_illust,96,24,100
scene_pvp_player,chr_illust,86,98,100
scene_pvp_rival,chr_illust,102,96,100
scene_pvp_result,chr_illust,94,98,100
scene_pvp_result,chr_illust_p,-14,106,96
