scene,layer,x,y,scale
scene_home_full_shot,chr_illust_p,-26,14,48
scene_home_full_shot,chr_illust,2,12,54
scene_home_bust_shot,chr_illust,0,0,130
scene_home_bust_shot,chr_illust_p,14,38,120
scene_home_medium_shot,chr_illust,-28,50,100
scene_home_medium_shot,chr_illust_p,-82,58,90
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-40,-6,90
scene_purge3,chr_illust_p,-64,-32,90
scene_purge2,chr_illust_p,-58,-32,90
scene_purge1,chr_illust_p,-48,-30,90
scene_adv,chr_illust,-12,-180,100
scene_adv,chr_illust_p,-56,-170,90
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,-10,2,50
scene_gift,chr_illust,0,12,90
scene_syousai,chr_illust,0,12,90
scene_skill,chr_illust,-10,60,100
scene_skill,chr_illust_p,-60,60,92
scene_chr_episode,chr_illust,0,32,90
scene_gata_syousai,chr_illust,12,6,56
scene_gata_syousai,chr_illust_p,-10,10,50
scene_battle_result_1,chr_illust,-26,68,100
scene_battle_result_2,chr_illust,-4,-2,96
scene_battle_result_3,chr_illust,-12,4,94
scene_battle_result_4,chr_illust,-6,-2,96
scene_load,chr_illust,-2,6,58
scene_kakusei,chr_illust,0,12,90
scene_login,chr_illust,-10,18,90
scene_pvp_player,chr_illust,-28,68,100
scene_pvp_rival,chr_illust,-12,66,100
scene_pvp_result,chr_illust,-10,62,100
scene_pvp_result,chr_illust_p,-60,82,88
