scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-20,12,48
scene_home_full_shot,chr_illust_p,6,20,46
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-38,42,86
scene_home_medium_shot,chr_illust_p,12,68,80
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,10,-28,84
scene_purge3,chr_illust_p,-18,-28,84
scene_purge2,chr_illust_p,-20,-34,84
scene_purge1,chr_illust_p,-6,-30,84
scene_adv,chr_illust,-32,-196,90
scene_adv,chr_illust_p,12,-166,84
scene_kakudai,chr_illust,-24,-8,60
scene_kakudai,chr_illust_p,10,4,58
scene_gift,chr_illust,-24,32,74
scene_syousai,chr_illust,-24,32,74
scene_skill,chr_illust,-34,44,92
scene_skill,chr_illust_p,18,74,86
scene_chr_episode,chr_illust,-20,34,78
scene_gata_syousai,chr_illust,-14,18,46
scene_gata_syousai,chr_illust_p,6,24,44
scene_battle_result_1,chr_illust,-34,44,92
scene_battle_result_2,chr_illust,-30,32,74
scene_battle_result_3,chr_illust,-32,36,74
scene_battle_result_4,chr_illust,-32,34,74
scene_load,chr_illust,-8,22,46
scene_kakusei,chr_illust,-24,32,74
scene_login,chr_illust,-24,36,74
scene_pvp_player,chr_illust,-34,44,92
scene_pvp_rival,chr_illust,-34,42,92
scene_pvp_result,chr_illust,-28,42,92
scene_pvp_result,chr_illust_p,16,72,86
