scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-18,10,50
scene_home_full_shot,chr_illust_p,-24,22,46
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-58,0,100
scene_home_medium_shot,chr_illust_p,-60,76,90
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-12,-8,94
scene_purge3,chr_illust_p,-48,-18,94
scene_purge2,chr_illust_p,-42,-12,96
scene_purge1,chr_illust_p,-24,-26,96
scene_adv,chr_illust,-60,-224,100
scene_adv,chr_illust_p,-52,-144,88
scene_kakudai,chr_illust,0,2,60
scene_kakudai,chr_illust_p,-20,8,60
scene_gift,chr_illust,-48,-14,90
scene_syousai,chr_illust,-48,-14,90
scene_skill,chr_illust,-56,20,100
scene_skill,chr_illust_p,-60,90,92
scene_chr_episode,chr_illust,-44,2,90
scene_gata_syousai,chr_illust,-30,6,52
scene_gata_syousai,chr_illust_p,-24,26,46
scene_battle_result_1,chr_illust,-62,24,100
scene_battle_result_2,chr_illust,-42,-6,86
scene_battle_result_3,chr_illust,-48,-8,88
scene_battle_result_4,chr_illust,-48,-10,88
scene_load,chr_illust,-28,-6,56
scene_kakusei,chr_illust,-48,-14,90
scene_login,chr_illust,-54,-6,88
scene_pvp_player,chr_illust,-64,26,100
scene_pvp_rival,chr_illust,-50,28,100
scene_pvp_result,chr_illust,-60,26,100
scene_pvp_result,chr_illust_p,-54,92,92
