scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-2,-8,54
scene_home_full_shot,chr_illust_p,0,12,56
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-12,-8,100
scene_home_medium_shot,chr_illust_p,0,48,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-10,-22,98
scene_purge3,chr_illust_p,-28,-22,98
scene_purge2,chr_illust_p,-20,-22,98
scene_purge1,chr_illust_p,-12,-28,100
scene_adv,chr_illust,0,-234,100
scene_adv,chr_illust_p,2,-176,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,64
scene_gift,chr_illust,-2,-20,88
scene_syousai,chr_illust,-2,-20,88
scene_skill,chr_illust,-8,10,100
scene_skill,chr_illust_p,0,66,100
scene_chr_episode,chr_illust,0,-26,94
scene_gata_syousai,chr_illust,-2,0,52
scene_gata_syousai,chr_illust_p,0,24,54
scene_battle_result_1,chr_illust,-12,16,100
scene_battle_result_2,chr_illust,-2,-16,88
scene_battle_result_3,chr_illust,0,-12,88
scene_battle_result_4,chr_illust,2,-16,88
scene_load,chr_illust,-2,-4,54
scene_kakusei,chr_illust,-2,-20,88
scene_login,chr_illust,-6,-14,88
scene_pvp_player,chr_illust,-10,14,100
scene_pvp_rival,chr_illust,-4,14,100
scene_pvp_result,chr_illust,-8,18,100
scene_pvp_result,chr_illust_p,14,68,100
