scene,layer,x,y,scale
scene_home_full_shot,chr_illust,20,16,50
scene_home_full_shot,chr_illust_p,6,8,50
scene_home_bust_shot,chr_illust,-22,180,100
scene_home_bust_shot,chr_illust_p,-54,166,100
scene_home_medium_shot,chr_illust,2,62,96
scene_home_medium_shot,chr_illust_p,-28,48,96
scene_battle,chr_illust,6,40,60
scene_battle,chr_illust_p,-14,32,60
scene_purge4,chr_illust_p,-12,-22,92
scene_purge3,chr_illust_p,-26,90,96
scene_purge2,chr_illust_p,-30,-44,100
scene_purge1,chr_illust_p,-18,-40,100
scene_adv,chr_illust,4,-182,100
scene_adv,chr_illust_p,-28,-198,100
scene_kakudai,chr_illust,8,12,60
scene_kakudai,chr_illust_p,-12,2,60
scene_gift,chr_illust,14,48,82
scene_syousai,chr_illust,14,48,82
scene_skill,chr_illust,12,66,100
scene_skill,chr_illust_p,-20,50,100
scene_chr_episode,chr_illust,16,48,86
scene_gata_syousai,chr_illust,20,26,50
scene_gata_syousai,chr_illust_p,4,20,50
scene_battle_result_1,chr_illust,16,66,100
scene_battle_result_2,chr_illust,8,48,82
scene_battle_result_3,chr_illust,2,46,82
scene_battle_result_4,chr_illust,6,44,82
scene_load,chr_illust,8,36,50
scene_kakusei,chr_illust,14,48,82
scene_login,chr_illust,12,56,80
scene_pvp_player,chr_illust,12,62,100
scene_pvp_rival,chr_illust,12,64,100
scene_pvp_result,chr_illust,16,66,100
scene_pvp_result,chr_illust_p,-18,50,100
