scene,layer,x,y,scale
scene_home_full_shot,chr_illust,8,8,58
scene_home_full_shot,chr_illust_p,16,42,52
scene_home_bust_shot,chr_illust,-4,28,148
scene_home_bust_shot,chr_illust_p,14,110,140
scene_home_medium_shot,chr_illust,10,36,100
scene_home_medium_shot,chr_illust_p,-14,90,96
scene_battle,chr_illust,6,6,64
scene_battle,chr_illust_p,22,40,60
scene_purge4,chr_illust_p,48,40,100
scene_purge3,chr_illust_p,18,12,100
scene_purge2,chr_illust_p,8,8,100
scene_purge1,chr_illust_p,40,12,94
scene_adv,chr_illust,-2,-188,100
scene_adv,chr_illust_p,-24,-126,96
scene_kakudai,chr_illust,14,-10,64
scene_kakudai,chr_illust_p,-16,28,60
scene_gift,chr_illust,2,-4,100
scene_syousai,chr_illust,2,-4,100
scene_skill,chr_illust,6,64,100
scene_skill,chr_illust_p,-20,108,100
scene_chr_episode,chr_illust,10,8,100
scene_gata_syousai,chr_illust,52,-2,54
scene_gata_syousai,chr_illust_p,64,28,50
scene_battle_result_1,chr_illust,-2,72,100
scene_battle_result_2,chr_illust,6,0,100
scene_battle_result_3,chr_illust,4,0,100
scene_battle_result_4,chr_illust,4,0,100
scene_load,chr_illust,4,-2,62
scene_kakusei,chr_illust,2,-4,100
scene_login,chr_illust,6,4,100
scene_pvp_player,chr_illust,2,72,100
scene_pvp_rival,chr_illust,0,72,100
scene_pvp_result,chr_illust,8,90,100
scene_pvp_result,chr_illust_p,-6,148,96
