scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-48,8,50
scene_home_full_shot,chr_illust_p,-48,8,50
scene_home_bust_shot,chr_illust,-14,48,120
scene_home_bust_shot,chr_illust_p,-14,48,120
scene_home_medium_shot,chr_illust,-110,8,100
scene_home_medium_shot,chr_illust_p,-110,8,100
scene_battle,chr_illust,-10,46,50
scene_battle,chr_illust_p,-10,48,50
scene_purge4,chr_illust_p,-102,-60,100
scene_purge3,chr_illust_p,-134,-76,100
scene_purge2,chr_illust_p,-118,-72,100
scene_purge1,chr_illust_p,-114,-78,100
scene_adv,chr_illust,-120,-214,100
scene_adv,chr_illust_p,-120,-214,100
scene_kakudai,chr_illust,-62,0,60
scene_kakudai,chr_illust_p,-62,0,60
scene_gift,chr_illust,-82,6,84
scene_syousai,chr_illust,-82,6,84
scene_skill,chr_illust,-110,30,100
scene_skill,chr_illust_p,-110,30,100
scene_chr_episode,chr_illust,-86,38,80
scene_gata_syousai,chr_illust,-56,10,50
scene_gata_syousai,chr_illust_p,-56,10,50
scene_battle_result_1,chr_illust,-109,22,100
scene_battle_result_2,chr_illust,-92,-12,90
scene_battle_result_3,chr_illust,-92,-14,90
scene_battle_result_4,chr_illust,-88,0,86
scene_load,chr_illust,-56,-2,54
scene_kakusei,chr_illust,-82,6,84
scene_login,chr_illust,-96,12,84
scene_pvp_player,chr_illust,-110,26,100
scene_pvp_rival,chr_illust,-116,30,100
scene_pvp_result,chr_illust,-112,32,100
scene_pvp_result,chr_illust_p,-112,32,100
