scene,layer,x,y,scale
scene_home_full_shot,chr_illust,10,6,50
scene_home_full_shot,chr_illust_p,10,6,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,22,-8,100
scene_home_medium_shot,chr_illust_p,22,-8,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,16,-92,100
scene_purge3,chr_illust_p,-2,-92,100
scene_purge2,chr_illust_p,-2,-92,100
scene_purge1,chr_illust_p,-2,-92,100
scene_adv,chr_illust,-78,-194,98
scene_adv,chr_illust_p,14,-230,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,18,-16,88
scene_syousai,chr_illust,18,-16,88
scene_skill,chr_illust,20,8,100
scene_skill,chr_illust_p,20,8,100
scene_chr_episode,chr_illust,24,-16,92
scene_gata_syousai,chr_illust,10,4,50
scene_gata_syousai,chr_illust_p,10,4,50
scene_battle_result_1,chr_illust,20,10,100
scene_battle_result_2,chr_illust,18,-18,88
scene_battle_result_3,chr_illust,12,-18,88
scene_battle_result_4,chr_illust,14,-10,86
scene_load,chr_illust,12,-6,54
scene_kakusei,chr_illust,18,-16,88
scene_login,chr_illust,18,-10,86
scene_pvp_player,chr_illust,20,6,100
scene_pvp_rival,chr_illust,14,6,100
scene_pvp_result,chr_illust,22,10,100
scene_pvp_result,chr_illust_p,22,10,100
