scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-8,14,52
scene_home_full_shot,chr_illust_p,-10,-6,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-16,42,100
scene_home_medium_shot,chr_illust_p,-10,54,96
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-2,-44,100
scene_purge3,chr_illust_p,-22,-36,100
scene_purge2,chr_illust_p,-12,-44,100
scene_purge1,chr_illust_p,0,-42,100
scene_adv,chr_illust,-10,-184,100
scene_adv,chr_illust_p,-10,-178,98
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,-32,58
scene_gift,chr_illust,0,32,86
scene_syousai,chr_illust,0,32,86
scene_skill,chr_illust,0,60,100
scene_skill,chr_illust_p,-12,60,100
scene_chr_episode,chr_illust,6,34,90
scene_gata_syousai,chr_illust,-2,14,52
scene_gata_syousai,chr_illust_p,-6,-4,50
scene_battle_result_1,chr_illust,-2,66,100
scene_battle_result_2,chr_illust,0,26,88
scene_battle_result_3,chr_illust,-10,28,88
scene_battle_result_4,chr_illust,-2,26,88
scene_load,chr_illust,-4,18,54
scene_kakusei,chr_illust,0,32,86
scene_login,chr_illust,-8,32,86
scene_pvp_player,chr_illust,-12,66,100
scene_pvp_rival,chr_illust,-2,64,100
scene_pvp_result,chr_illust,0,60,100
scene_pvp_result,chr_illust_p,-12,66,98
