scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,0,54
scene_home_full_shot,chr_illust_p,12,0,54
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-12,76,100
scene_home_medium_shot,chr_illust_p,12,76,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,62,50
scene_purge4,chr_illust_p,14,8,96
scene_purge3,chr_illust_p,-2,-2,100
scene_purge2,chr_illust_p,4,-2,100
scene_purge1,chr_illust_p,12,-2,100
scene_adv,chr_illust,-2,-148,100
scene_adv,chr_illust_p,18,-148,100
scene_kakudai,chr_illust,0,0,64
scene_kakudai,chr_illust_p,12,4,64
scene_gift,chr_illust,-12,38,96
scene_syousai,chr_illust,-12,38,96
scene_skill,chr_illust,0,98,100
scene_skill,chr_illust_p,24,100,100
scene_chr_episode,chr_illust,4,54,98
scene_gata_syousai,chr_illust,-6,20,54
scene_gata_syousai,chr_illust_p,14,16,54
scene_battle_result_1,chr_illust,-4,108,100
scene_battle_result_2,chr_illust,-2,50,94
scene_battle_result_3,chr_illust,-10,50,94
scene_battle_result_4,chr_illust,-4,48,94
scene_load,chr_illust,0,26,60
scene_kakusei,chr_illust,-12,38,96
scene_login,chr_illust,-10,44,96
scene_pvp_player,chr_illust,-24,112,100
scene_pvp_rival,chr_illust,6,112,100
scene_pvp_result,chr_illust,6,102,100
scene_pvp_result,chr_illust_p,26,102,100
