scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,-14,54
scene_home_full_shot,chr_illust_p,0,-14,54
scene_home_bust_shot,chr_illust,0,22,130
scene_home_bust_shot,chr_illust_p,0,22,130
scene_home_medium_shot,chr_illust,-4,-4,100
scene_home_medium_shot,chr_illust_p,-4,-4,100
scene_battle,chr_illust,-2,-20,68
scene_battle,chr_illust_p,-2,-20,68
scene_purge4,chr_illust_p,-20,-66,100
scene_purge3,chr_illust_p,-42,-96,100
scene_purge2,chr_illust_p,-30,-92,100
scene_purge1,chr_illust_p,-2,-76,100
scene_adv,chr_illust,-16,-234,100
scene_adv,chr_illust_p,-16,-234,100
scene_kakudai,chr_illust,-12,0,60
scene_kakudai,chr_illust_p,-12,0,60
scene_gift,chr_illust,-4,-42,94
scene_syousai,chr_illust,-4,-42,94
scene_skill,chr_illust,-8,8,100
scene_skill,chr_illust_p,-10,8,100
scene_chr_episode,chr_illust,-2,-30,96
scene_gata_syousai,chr_illust,-2,0,52
scene_gata_syousai,chr_illust_p,-2,0,52
scene_battle_result_1,chr_illust,-10,18,100
scene_battle_result_2,chr_illust,-8,-38,94
scene_battle_result_3,chr_illust,-10,-38,94
scene_battle_result_4,chr_illust,-8,-38,94
scene_load,chr_illust,0,4,52
scene_kakusei,chr_illust,-4,-42,94
scene_login,chr_illust,-8,-36,94
scene_pvp_player,chr_illust,-14,16,100
scene_pvp_rival,chr_illust,-14,16,100
scene_pvp_result,chr_illust,-8,22,100
scene_pvp_result,chr_illust_p,-8,22,100
