scene,layer,x,y,scale
scene_home_full_shot,chr_illust,18,0,52
scene_home_full_shot,chr_illust_p,10,26,46
scene_home_bust_shot,chr_illust,-20,22,134
scene_home_bust_shot,chr_illust_p,86,230,104
scene_home_medium_shot,chr_illust,-10,18,94
scene_home_medium_shot,chr_illust_p,66,118,84
scene_battle,chr_illust,-4,20,60
scene_battle,chr_illust_p,48,108,46
scene_purge4,chr_illust_p,20,126,64
scene_purge3,chr_illust_p,18,82,70
scene_purge2,chr_illust_p,32,82,74
scene_purge1,chr_illust_p,72,64,74
scene_adv,chr_illust,-14,-216,100
scene_adv,chr_illust_p,78,-68,76
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-6,10,80
scene_syousai,chr_illust,-6,10,80
scene_skill,chr_illust,-8,36,100
scene_skill,chr_illust_p,50,208,70
scene_chr_episode,chr_illust,2,16,84
scene_gata_syousai,chr_illust,0,8,50
scene_gata_syousai,chr_illust_p,68,10,46
scene_battle_result_1,chr_illust,-10,38,100
scene_battle_result_2,chr_illust,-8,26,82
scene_battle_result_3,chr_illust,-10,24,82
scene_battle_result_4,chr_illust,-6,20,82
scene_load,chr_illust,-12,10,50
scene_kakusei,chr_illust,-6,10,80
scene_login,chr_illust,-2,18,80
scene_pvp_player,chr_illust,-10,38,100
scene_pvp_rival,chr_illust,-14,38,100
scene_pvp_result,chr_illust,-10,32,100
scene_pvp_result,chr_illust_p,100,190,72
