scene,layer,x,y,scale
scene_home_full_shot,chr_illust,44,20,50
scene_home_full_shot,chr_illust_p,44,20,50
scene_home_bust_shot,chr_illust,74,88,120
scene_home_bust_shot,chr_illust_p,74,88,120
scene_home_medium_shot,chr_illust,38,60,90
scene_home_medium_shot,chr_illust_p,38,60,90
scene_battle,chr_illust,30,46,50
scene_battle,chr_illust_p,30,48,50
scene_purge4,chr_illust_p,86,-16,90
scene_purge3,chr_illust_p,66,-50,90
scene_purge2,chr_illust_p,78,-48,90
scene_purge1,chr_illust_p,74,-40,90
scene_adv,chr_illust,52,-208,100
scene_adv,chr_illust_p,52,-208,100
scene_kakudai,chr_illust,30,0,60
scene_kakudai,chr_illust_p,30,0,60
scene_gift,chr_illust,64,30,80
scene_syousai,chr_illust,64,30,80
scene_skill,chr_illust,64,48,94
scene_skill,chr_illust_p,62,48,94
scene_chr_episode,chr_illust,66,52,80
scene_gata_syousai,chr_illust,42,2,50
scene_gata_syousai,chr_illust_p,42,2,50
scene_battle_result_1,chr_illust,70,52,96
scene_battle_result_2,chr_illust,52,42,76
scene_battle_result_3,chr_illust,48,36,78
scene_battle_result_4,chr_illust,52,36,78
scene_load,chr_illust,28,20,50
scene_kakusei,chr_illust,64,30,80
scene_login,chr_illust,52,34,80
scene_pvp_player,chr_illust,66,52,94
scene_pvp_rival,chr_illust,68,58,94
scene_pvp_result,chr_illust,76,36,100
scene_pvp_result,chr_illust_p,74,36,100
