scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,14,54
scene_home_full_shot,chr_illust_p,-4,22,52
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-16,40,100
scene_home_medium_shot,chr_illust_p,-20,62,96
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-20,-6,96
scene_purge3,chr_illust_p,-44,-10,96
scene_purge2,chr_illust_p,-32,-10,96
scene_purge1,chr_illust_p,-26,-24,100
scene_adv,chr_illust,0,-184,100
scene_adv,chr_illust_p,-6,-150,96
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-2,10,92
scene_syousai,chr_illust,-2,10,92
scene_skill,chr_illust,-8,46,100
scene_skill,chr_illust_p,-12,78,96
scene_chr_episode,chr_illust,-2,14,94
scene_gata_syousai,chr_illust,0,14,52
scene_gata_syousai,chr_illust_p,-6,30,50
scene_battle_result_1,chr_illust,-8,56,100
scene_battle_result_2,chr_illust,0,20,88
scene_battle_result_3,chr_illust,6,20,88
scene_battle_result_4,chr_illust,6,20,88
scene_load,chr_illust,0,22,54
scene_kakusei,chr_illust,-2,10,92
scene_login,chr_illust,-6,14,92
scene_pvp_player,chr_illust,-12,58,100
scene_pvp_rival,chr_illust,-14,56,100
scene_pvp_result,chr_illust,0,54,100
scene_pvp_result,chr_illust_p,-10,84,96
