scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,0,48
scene_home_full_shot,chr_illust_p,20,20,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-4,62,92
scene_home_medium_shot,chr_illust_p,-8,146,98
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,8,58,100
scene_purge3,chr_illust_p,-22,58,100
scene_purge2,chr_illust_p,-6,58,100
scene_purge1,chr_illust_p,16,60,100
scene_adv,chr_illust,0,-172,94
scene_adv,chr_illust_p,-10,-86,100
scene_kakudai,chr_illust,0,-16,60
scene_kakudai,chr_illust_p,14,16,60
scene_gift,chr_illust,0,62,74
scene_syousai,chr_illust,0,62,74
scene_skill,chr_illust,4,74,94
scene_skill,chr_illust_p,-4,156,100
scene_chr_episode,chr_illust,2,62,80
scene_gata_syousai,chr_illust,0,28,48
scene_gata_syousai,chr_illust_p,-2,68,52
scene_battle_result_1,chr_illust,2,72,96
scene_battle_result_2,chr_illust,2,58,76
scene_battle_result_3,chr_illust,-2,56,76
scene_battle_result_4,chr_illust,2,58,76
scene_load,chr_illust,0,34,48
scene_kakusei,chr_illust,0,62,74
scene_login,chr_illust,0,58,76
scene_pvp_player,chr_illust,0,74,94
scene_pvp_rival,chr_illust,0,76,94
scene_pvp_result,chr_illust,4,82,92
scene_pvp_result,chr_illust_p,-6,166,100
