scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-8,2,50
scene_home_full_shot,chr_illust_p,-8,2,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-12,56,90
scene_home_medium_shot,chr_illust_p,-12,56,90
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,20,-50,98
scene_purge3,chr_illust_p,2,-54,98
scene_purge2,chr_illust_p,4,-56,98
scene_purge1,chr_illust_p,22,-58,100
scene_adv,chr_illust,26,-196,98
scene_adv,chr_illust_p,26,-196,98
scene_kakudai,chr_illust,-4,0,62
scene_kakudai,chr_illust_p,-4,0,62
scene_gift,chr_illust,14,40,78
scene_syousai,chr_illust,14,40,78
scene_skill,chr_illust,16,40,100
scene_skill,chr_illust_p,16,40,100
scene_chr_episode,chr_illust,12,46,80
scene_gata_syousai,chr_illust,8,20,50
scene_gata_syousai,chr_illust_p,8,20,50
scene_battle_result_1,chr_illust,18,50,98
scene_battle_result_2,chr_illust,14,40,78
scene_battle_result_3,chr_illust,12,42,78
scene_battle_result_4,chr_illust,10,40,78
scene_load,chr_illust,8,26,48
scene_kakusei,chr_illust,14,40,78
scene_login,chr_illust,10,38,78
scene_pvp_player,chr_illust,4,46,98
scene_pvp_rival,chr_illust,16,40,98
scene_pvp_result,chr_illust,18,42,100
scene_pvp_result,chr_illust_p,18,42,100
