scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-40,8,48
scene_home_full_shot,chr_illust_p,54,6,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-80,0,98
scene_home_medium_shot,chr_illust_p,166,166,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,178,148,84
scene_purge3,chr_illust_p,132,110,84
scene_purge2,chr_illust_p,120,112,84
scene_purge1,chr_illust_p,140,130,84
scene_adv,chr_illust,-74,-226,100
scene_adv,chr_illust_p,168,-28,100
scene_kakudai,chr_illust,-24,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-48,6,82
scene_syousai,chr_illust,-48,6,82
scene_skill,chr_illust,-62,48,92
scene_skill,chr_illust_p,208,246,96
scene_chr_episode,chr_illust,-42,26,82
scene_gata_syousai,chr_illust,-38,10,50
scene_gata_syousai,chr_illust_p,78,20,50
scene_battle_result_1,chr_illust,-54,56,92
scene_battle_result_2,chr_illust,-54,8,82
scene_battle_result_3,chr_illust,-60,8,82
scene_battle_result_4,chr_illust,-56,4,82
scene_load,chr_illust,-30,6,50
scene_kakusei,chr_illust,-48,6,82
scene_login,chr_illust,-58,4,82
scene_pvp_player,chr_illust,-58,36,94
scene_pvp_rival,chr_illust,-54,40,92
scene_pvp_result,chr_illust,-58,28,96
scene_pvp_result,chr_illust_p,198,244,92
