scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-18,6,48
scene_home_full_shot,chr_illust_p,-16,-32,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-36,36,88
scene_home_medium_shot,chr_illust_p,-42,68,86
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,6,2,88
scene_purge3,chr_illust_p,-24,-8,88
scene_purge2,chr_illust_p,-14,-8,88
scene_purge1,chr_illust_p,-14,-10,90
scene_adv,chr_illust,-42,-212,94
scene_adv,chr_illust_p,-42,-170,92
scene_kakudai,chr_illust,-24,0,60
scene_kakudai,chr_illust_p,-24,-24,60
scene_gift,chr_illust,-20,30,74
scene_syousai,chr_illust,-20,30,74
scene_skill,chr_illust,-36,28,96
scene_skill,chr_illust_p,-42,74,94
scene_chr_episode,chr_illust,-20,26,80
scene_gata_syousai,chr_illust,-18,16,46
scene_gata_syousai,chr_illust_p,-16,-2,46
scene_battle_result_1,chr_illust,-32,36,94
scene_battle_result_2,chr_illust,-30,26,76
scene_battle_result_3,chr_illust,-36,24,76
scene_battle_result_4,chr_illust,-32,28,74
scene_load,chr_illust,-16,10,46
scene_kakusei,chr_illust,-20,30,74
scene_login,chr_illust,-26,28,76
scene_pvp_player,chr_illust,-38,38,94
scene_pvp_rival,chr_illust,-38,38,94
scene_pvp_result,chr_illust,-30,36,94
scene_pvp_result,chr_illust_p,-34,78,92
