scene,layer,x,y,scale
scene_home_full_shot,chr_illust,6,4,48
scene_home_full_shot,chr_illust_p,8,0,46
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,0,48,86
scene_home_medium_shot,chr_illust_p,-4,58,80
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,12,8,78
scene_purge3,chr_illust_p,-6,-36,80
scene_purge2,chr_illust_p,-10,-34,80
scene_purge1,chr_illust_p,32,14,80
scene_adv,chr_illust,4,-186,90
scene_adv,chr_illust_p,-10,-188,86
scene_kakudai,chr_illust,4,2,58
scene_kakudai,chr_illust_p,16,2,56
scene_gift,chr_illust,2,40,74
scene_syousai,chr_illust,2,40,74
scene_skill,chr_illust,8,58,90
scene_skill,chr_illust_p,16,64,84
scene_chr_episode,chr_illust,6,32,80
scene_gata_syousai,chr_illust,-2,18,46
scene_gata_syousai,chr_illust_p,0,12,44
scene_battle_result_1,chr_illust,12,38,96
scene_battle_result_2,chr_illust,8,36,76
scene_battle_result_3,chr_illust,8,40,74
scene_battle_result_4,chr_illust,16,38,74
scene_load,chr_illust,6,26,46
scene_kakusei,chr_illust,2,40,74
scene_login,chr_illust,10,38,76
scene_pvp_player,chr_illust,8,30,96
scene_pvp_rival,chr_illust,10,30,96
scene_pvp_result,chr_illust,4,48,96
scene_pvp_result,chr_illust_p,24,36,92
