scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-12,2,54
scene_home_full_shot,chr_illust_p,-38,10,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-22,10,100
scene_home_medium_shot,chr_illust_p,-82,58,98
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-54,22,94
scene_purge3,chr_illust_p,-82,-8,94
scene_purge2,chr_illust_p,-74,-8,94
scene_purge1,chr_illust_p,-36,-18,96
scene_adv,chr_illust,-8,-206,100
scene_adv,chr_illust_p,-84,-156,96
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-10,0,88
scene_syousai,chr_illust,-10,0,88
scene_skill,chr_illust,-25,30,100
scene_skill,chr_illust_p,-86,78,100
scene_chr_episode,chr_illust,-10,22,88
scene_gata_syousai,chr_illust,-2,18,50
scene_gata_syousai,chr_illust_p,-43,30,48
scene_battle_result_1,chr_illust,-24,28,100
scene_battle_result_2,chr_illust,-16,20,82
scene_battle_result_3,chr_illust,-20,20,82
scene_battle_result_4,chr_illust,-12,16,82
scene_load,chr_illust,-8,8,52
scene_kakusei,chr_illust,-10,0,88
scene_login,chr_illust,-20,12,84
scene_pvp_player,chr_illust,-26,34,100
scene_pvp_rival,chr_illust,-18,28,100
scene_pvp_result,chr_illust,-26,32,100
scene_pvp_result,chr_illust_p,-100,78,100
