scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-2,4,50
scene_home_full_shot,chr_illust_p,4,4,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-14,-18,100
scene_home_medium_shot,chr_illust_p,-2,-10,96
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,22,-10,90
scene_purge3,chr_illust_p,2,-44,90
scene_purge2,chr_illust_p,-2,-60,94
scene_purge1,chr_illust_p,-4,-66,94
scene_adv,chr_illust,-12,-240,100
scene_adv,chr_illust_p,-12,-224,94
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,-2,-26,88
scene_syousai,chr_illust,-2,-26,88
scene_skill,chr_illust,-16,-2,100
scene_skill,chr_illust_p,-16,4,96
scene_chr_episode,chr_illust,-8,-12,88
scene_gata_syousai,chr_illust,-50,6,50
scene_gata_syousai,chr_illust_p,-42,14,46
scene_battle_result_1,chr_illust,-20,4,100
scene_battle_result_2,chr_illust,-12,-16,86
scene_battle_result_3,chr_illust,-12,-22,88
scene_battle_result_4,chr_illust,-6,-26,88
scene_load,chr_illust,-4,0,50
scene_kakusei,chr_illust,-2,-26,88
scene_login,chr_illust,-8,-10,84
scene_pvp_player,chr_illust,-12,0,100
scene_pvp_rival,chr_illust,0,0,100
scene_pvp_result,chr_illust,-24,0,100
scene_pvp_result,chr_illust_p,-18,8,96
