scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-16,8,48
scene_home_full_shot,chr_illust_p,-16,-12,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-54,-38,100
scene_home_medium_shot,chr_illust_p,-42,-38,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-24,-74,100
scene_purge3,chr_illust_p,-48,-108,100
scene_purge2,chr_illust_p,-44,-118,100
scene_purge1,chr_illust_p,-28,-112,100
scene_adv,chr_illust,-52,-268,100
scene_adv,chr_illust_p,-32,-258,100
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,-4,-14,62
scene_gift,chr_illust,-30,-76,96
scene_syousai,chr_illust,-30,-76,96
scene_skill,chr_illust,-34,-20,100
scene_skill,chr_illust_p,-32,-18,100
scene_chr_episode,chr_illust,-30,-76,100
scene_gata_syousai,chr_illust,-16,2,48
scene_gata_syousai,chr_illust_p,-16,-12,50
scene_battle_result_1,chr_illust,-34,-12,100
scene_battle_result_2,chr_illust,-42,-76,96
scene_battle_result_3,chr_illust,-46,-74,96
scene_battle_result_4,chr_illust,-44,-74,96
scene_load,chr_illust,-22,-16,54
scene_kakusei,chr_illust,-30,-76,96
scene_login,chr_illust,-30,-76,96
scene_pvp_player,chr_illust,-32,-16,100
scene_pvp_rival,chr_illust,-32,-20,100
scene_pvp_result,chr_illust,-38,-8,100
scene_pvp_result,chr_illust_p,-18,-6,100
