scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-32,6,50
scene_home_full_shot,chr_illust_p,-78,12,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,40,100
scene_home_medium_shot,chr_illust,-24,0,98
scene_home_medium_shot,chr_illust_p,-172,6,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,62,50
scene_purge4,chr_illust_p,-122,-38,92
scene_purge3,chr_illust_p,-148,-46,92
scene_purge2,chr_illust_p,-140,-44,92
scene_purge1,chr_illust_p,-150,-74,100
scene_adv,chr_illust,-8,-230,100
scene_adv,chr_illust_p,-166,-222,100
scene_kakudai,chr_illust,0,0,62
scene_kakudai,chr_illust_p,-10,4,60
scene_gift,chr_illust,-2,-8,86
scene_syousai,chr_illust,-2,-8,86
scene_skill,chr_illust,-6,20,98
scene_skill,chr_illust_p,-164,26,100
scene_chr_episode,chr_illust,-2,-4,88
scene_gata_syousai,chr_illust,-22,6,50
scene_gata_syousai,chr_illust_p,-76,12,50
scene_battle_result_1,chr_illust,-2,14,100
scene_battle_result_2,chr_illust,-4,-2,84
scene_battle_result_3,chr_illust,-4,-2,84
scene_battle_result_4,chr_illust,-4,-2,84
scene_load,chr_illust,-2,0,52
scene_kakusei,chr_illust,-2,-8,86
scene_login,chr_illust,-4,4,82
scene_pvp_player,chr_illust,-4,16,100
scene_pvp_rival,chr_illust,-6,10,100
scene_pvp_result,chr_illust,-4,12,100
scene_pvp_result,chr_illust_p,-164,22,100
