scene,layer,x,y,scale
scene_home_full_shot,chr_illust,0,14,60
scene_home_full_shot,chr_illust_p,0,14,60
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-10,122,100
scene_home_medium_shot,chr_illust_p,-10,122,100
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,20,42,100
scene_purge3,chr_illust_p,-20,28,100
scene_purge2,chr_illust_p,0,44,100
scene_purge1,chr_illust_p,-6,30,100
scene_adv,chr_illust,-2,-34,100
scene_adv,chr_illust_p,-2,-34,100
scene_kakudai,chr_illust,0,4,72
scene_kakudai,chr_illust_p,0,4,72
scene_gift,chr_illust,0,64,100
scene_syousai,chr_illust,0,64,100
scene_skill,chr_illust,-10,134,100
scene_skill,chr_illust_p,-10,134,100
scene_chr_episode,chr_illust,-6,82,100
scene_gata_syousai,chr_illust,-4,16,60
scene_gata_syousai,chr_illust_p,-4,16,60
scene_battle_result_1,chr_illust,-4,144,100
scene_battle_result_2,chr_illust,0,68,100
scene_battle_result_3,chr_illust,0,60,100
scene_battle_result_4,chr_illust,0,58,100
scene_load,chr_illust,-2,10,76
scene_kakusei,chr_illust,0,64,100
scene_login,chr_illust,-4,70,100
scene_pvp_player,chr_illust,-14,152,100
scene_pvp_rival,chr_illust,-8,154,100
scene_pvp_result,chr_illust,-2,148,100
scene_pvp_result,chr_illust_p,-2,148,100
