scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-6,0,50
scene_home_full_shot,chr_illust_p,36,-22,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-16,-20,100
scene_home_medium_shot,chr_illust_p,78,0,96
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,64,-4,78
scene_purge3,chr_illust_p,40,-40,80
scene_purge2,chr_illust_p,46,-50,82
scene_purge1,chr_illust_p,60,-14,84
scene_adv,chr_illust,-12,-244,100
scene_adv,chr_illust_p,90,-216,94
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,-8,2,60
scene_gift,chr_illust,-8,0,80
scene_syousai,chr_illust,-8,0,80
scene_skill,chr_illust,-8,-2,100
scene_skill,chr_illust_p,98,24,96
scene_chr_episode,chr_illust,-8,12,88
scene_gata_syousai,chr_illust,0,0,50
scene_gata_syousai,chr_illust_p,4,8,48
scene_battle_result_1,chr_illust,-10,0,100
scene_battle_result_2,chr_illust,-2,-14,84
scene_battle_result_3,chr_illust,-6,-14,84
scene_battle_result_4,chr_illust,-6,-16,84
scene_load,chr_illust,-6,0,50
scene_kakusei,chr_illust,-8,0,80
scene_login,chr_illust,0,0,80
scene_pvp_player,chr_illust,-10,0,100
scene_pvp_rival,chr_illust,0,0,100
scene_pvp_result,chr_illust,-10,0,100
scene_pvp_result,chr_illust_p,106,22,96
