scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-2,4,48
scene_home_full_shot,chr_illust_p,-6,-56,58
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-12,8,90
scene_home_medium_shot,chr_illust_p,-24,52,82
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-26,-70,94
scene_purge3,chr_illust_p,-48,-68,94
scene_purge2,chr_illust_p,-50,-68,94
scene_purge1,chr_illust_p,-34,-68,94
scene_adv,chr_illust,-14,-240,96
scene_adv,chr_illust_p,-30,-194,88
scene_kakudai,chr_illust,2,0,60
scene_kakudai,chr_illust_p,-6,-62,66
scene_gift,chr_illust,-8,8,76
scene_syousai,chr_illust,-8,8,76
scene_skill,chr_illust,-10,6,96
scene_skill,chr_illust_p,-24,46,90
scene_chr_episode,chr_illust,-6,8,80
scene_gata_syousai,chr_illust,-4,2,48
scene_gata_syousai,chr_illust_p,-12,-24,48
scene_battle_result_1,chr_illust,-10,6,96
scene_battle_result_2,chr_illust,-8,0,78
scene_battle_result_3,chr_illust,-20,0,78
scene_battle_result_4,chr_illust,-14,-4,78
scene_load,chr_illust,-6,4,48
scene_kakusei,chr_illust,-8,8,76
scene_login,chr_illust,-8,10,76
scene_pvp_player,chr_illust,-8,6,96
scene_pvp_rival,chr_illust,-10,8,96
scene_pvp_result,chr_illust,-12,0,98
scene_pvp_result,chr_illust_p,-26,46,90
