scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-10,2,50
scene_home_full_shot,chr_illust_p,-16,10,46
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-18,6,96
scene_home_medium_shot,chr_illust_p,2,154,76
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,20,76,76
scene_purge3,chr_illust_p,-12,76,76
scene_purge2,chr_illust_p,-20,66,78
scene_purge1,chr_illust_p,-16,68,78
scene_adv,chr_illust,-16,-222,98
scene_adv,chr_illust_p,2,-66,78
scene_kakudai,chr_illust,-24,-6,60
scene_kakudai,chr_illust_p,10,4,58
scene_gift,chr_illust,-12,18,78
scene_syousai,chr_illust,-12,18,78
scene_skill,chr_illust,-16,16,100
scene_skill,chr_illust_p,8,178,78
scene_chr_episode,chr_illust,-16,14,84
scene_gata_syousai,chr_illust,0,6,50
scene_gata_syousai,chr_illust_p,0,38,44
scene_battle_result_1,chr_illust,-20,20,100
scene_battle_result_2,chr_illust,-14,14,80
scene_battle_result_3,chr_illust,-14,14,80
scene_battle_result_4,chr_illust,-14,12,80
scene_load,chr_illust,-8,14,48
scene_kakusei,chr_illust,-12,18,78
scene_login,chr_illust,-24,10,82
scene_pvp_player,chr_illust,-16,18,100
scene_pvp_rival,chr_illust,-18,16,100
scene_pvp_result,chr_illust,-16,18,100
scene_pvp_result,chr_illust_p,14,176,80
