scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-34,0,50
scene_home_full_shot,chr_illust_p,30,0,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-82,40,92
scene_home_medium_shot,chr_illust_p,30,130,90
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,38,72,84
scene_purge3,chr_illust_p,-4,56,84
scene_purge2,chr_illust_p,-4,42,84
scene_purge1,chr_illust_p,6,50,90
scene_adv,chr_illust,-66,-196,98
scene_adv,chr_illust_p,60,-98,94
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,-4,60
scene_gift,chr_illust,-62,42,76
scene_syousai,chr_illust,-62,42,76
scene_skill,chr_illust,-70,44,98
scene_skill,chr_illust_p,56,144,94
scene_chr_episode,chr_illust,-56,38,82
scene_gata_syousai,chr_illust,-34,18,50
scene_gata_syousai,chr_illust_p,12,30,48
scene_battle_result_1,chr_illust,-60,46,98
scene_battle_result_2,chr_illust,-60,40,78
scene_battle_result_3,chr_illust,-54,38,78
scene_battle_result_4,chr_illust,-52,38,78
scene_load,chr_illust,-34,26,48
scene_kakusei,chr_illust,-62,42,76
scene_login,chr_illust,-76,30,80
scene_pvp_player,chr_illust,-88,46,98
scene_pvp_rival,chr_illust,-68,42,98
scene_pvp_result,chr_illust,-70,40,100
scene_pvp_result,chr_illust_p,54,140,96
