scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-4,10,50
scene_home_full_shot,chr_illust_p,-2,-10,48
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-32,30,92
scene_home_medium_shot,chr_illust_p,-38,68,86
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,12,16,80
scene_purge3,chr_illust_p,-28,-16,82
scene_purge2,chr_illust_p,-8,-16,84
scene_purge1,chr_illust_p,0,-2,84
scene_adv,chr_illust,-28,-188,90
scene_adv,chr_illust_p,-28,-160,86
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,-18,26,76
scene_syousai,chr_illust,-18,26,76
scene_skill,chr_illust,-22,42,94
scene_skill,chr_illust_p,-32,68,90
scene_chr_episode,chr_illust,0,38,78
scene_gata_syousai,chr_illust,-28,10,50
scene_gata_syousai,chr_illust_p,-20,8,46
scene_battle_result_1,chr_illust,-24,40,94
scene_battle_result_2,chr_illust,-6,32,76
scene_battle_result_3,chr_illust,-16,32,76
scene_battle_result_4,chr_illust,-14,30,76
scene_load,chr_illust,-10,16,50
scene_kakusei,chr_illust,-18,26,76
scene_login,chr_illust,-16,26,80
scene_pvp_player,chr_illust,-30,40,94
scene_pvp_rival,chr_illust,-30,42,94
scene_pvp_result,chr_illust,-18,48,92
scene_pvp_result,chr_illust_p,-32,74,90
