scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-2,8,48
scene_home_full_shot,chr_illust_p,-6,0,46
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-28,14,94
scene_home_medium_shot,chr_illust_p,-28,96,80
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,20,68,72
scene_purge3,chr_illust_p,-10,34,72
scene_purge2,chr_illust_p,-8,36,72
scene_purge1,chr_illust_p,12,68,70
scene_adv,chr_illust,-8,-204,94
scene_adv,chr_illust_p,-6,-120,80
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,2,60
scene_gift,chr_illust,-8,28,76
scene_syousai,chr_illust,-8,28,76
scene_skill,chr_illust,-12,36,94
scene_skill,chr_illust_p,-14,124,80
scene_chr_episode,chr_illust,-8,34,78
scene_gata_syousai,chr_illust,-4,20,46
scene_gata_syousai,chr_illust_p,-4,22,42
scene_battle_result_1,chr_illust,-24,46,92
scene_battle_result_2,chr_illust,-6,34,74
scene_battle_result_3,chr_illust,-12,32,74
scene_battle_result_4,chr_illust,-10,32,74
scene_load,chr_illust,-6,22,46
scene_kakusei,chr_illust,-8,28,76
scene_login,chr_illust,-10,34,74
scene_pvp_player,chr_illust,-12,32,94
scene_pvp_rival,chr_illust,-12,38,94
scene_pvp_result,chr_illust,-12,44,92
scene_pvp_result,chr_illust_p,-20,122,80
