scene,layer,x,y,scale
scene_home_full_shot,chr_illust,14,10,50
scene_home_full_shot,chr_illust_p,14,10,50
scene_home_bust_shot,chr_illust,-14,68,120
scene_home_bust_shot,chr_illust_p,-14,68,120
scene_home_medium_shot,chr_illust,-12,60,90
scene_home_medium_shot,chr_illust_p,-12,60,90
scene_battle,chr_illust,0,46,50
scene_battle,chr_illust_p,0,46,50
scene_purge4,chr_illust_p,30,-30,90
scene_purge3,chr_illust_p,16,-64,90
scene_purge2,chr_illust_p,20,-62,90
scene_purge1,chr_illust_p,3,-36,90
scene_adv,chr_illust,-2,-132,80
scene_adv,chr_illust_p,-2,-132,80
scene_kakudai,chr_illust,10,0,60
scene_kakudai,chr_illust_p,10,0,60
scene_gift,chr_illust,8,62,70
scene_syousai,chr_illust,8,62,70
scene_skill,chr_illust,-4,135,100
scene_skill,chr_illust_p,-4,135,100
scene_chr_episode,chr_illust,16,46,80
scene_gata_syousai,chr_illust,0,0,50
scene_gata_syousai,chr_illust_p,0,0,50
scene_battle_result_1,chr_illust,0,90,80
scene_battle_result_2,chr_illust,-2,56,70
scene_battle_result_3,chr_illust,-2,54,70
scene_battle_result_4,chr_illust,0,52,70
scene_load,chr_illust,3,26,50
scene_kakusei,chr_illust,4,42,70
scene_login,chr_illust,0,50,70
scene_pvp_player,chr_illust,-5,56,110
scene_pvp_rival,chr_illust,12,52,110
scene_pvp_result,chr_illust,12,22,100
scene_pvp_result,chr_illust_p,12,22,100
