scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-12,10,50
scene_home_full_shot,chr_illust_p,-10,8,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-42,36,94
scene_home_medium_shot,chr_illust_p,-36,42,92
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-16,-16,90
scene_purge3,chr_illust_p,-40,-48,90
scene_purge2,chr_illust_p,-28,-46,90
scene_purge1,chr_illust_p,-16,-70,100
scene_adv,chr_illust,-46,-204,100
scene_adv,chr_illust_p,-34,-206,100
scene_kakudai,chr_illust,-18,0,60
scene_kakudai,chr_illust_p,-10,0,60
scene_gift,chr_illust,-24,32,80
scene_syousai,chr_illust,-24,32,80
scene_skill,chr_illust,-34,42,100
scene_skill,chr_illust_p,-28,42,100
scene_chr_episode,chr_illust,-26,34,84
scene_gata_syousai,chr_illust,-20,18,50
scene_gata_syousai,chr_illust_p,-12,18,50
scene_battle_result_1,chr_illust,-32,42,100
scene_battle_result_2,chr_illust,-26,32,80
scene_battle_result_3,chr_illust,-36,32,80
scene_battle_result_4,chr_illust,-30,34,80
scene_load,chr_illust,-16,20,50
scene_kakusei,chr_illust,-24,32,80
scene_login,chr_illust,-32,32,80
scene_pvp_player,chr_illust,-32,40,100
scene_pvp_rival,chr_illust,-32,42,100
scene_pvp_result,chr_illust,-32,42,100
scene_pvp_result,chr_illust_p,-26,40,100
