scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-8,2,48
scene_home_full_shot,chr_illust_p,2,0,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-20,-20,96
scene_home_medium_shot,chr_illust_p,-2,156,92
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-4,76,92
scene_purge3,chr_illust_p,-46,58,96
scene_purge2,chr_illust_p,-32,52,98
scene_purge1,chr_illust_p,0,64,100
scene_adv,chr_illust,-30,-260,100
scene_adv,chr_illust_p,12,-70,94
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,20,0,60
scene_gift,chr_illust,-16,-18,82
scene_syousai,chr_illust,-16,-18,82
scene_skill,chr_illust,-26,-14,100
scene_skill,chr_illust_p,16,172,96
scene_chr_episode,chr_illust,-18,-20,86
scene_gata_syousai,chr_illust,-12,2,48
scene_gata_syousai,chr_illust_p,-8,8,50
scene_battle_result_1,chr_illust,-22,-12,100
scene_battle_result_2,chr_illust,-16,-20,82
scene_battle_result_3,chr_illust,-28,-20,82
scene_battle_result_4,chr_illust,-24,-20,82
scene_load,chr_illust,-10,-6,50
scene_kakusei,chr_illust,-16,-18,82
scene_login,chr_illust,-16,-18,82
scene_pvp_player,chr_illust,-22,-12,100
scene_pvp_rival,chr_illust,-26,-16,100
scene_pvp_result,chr_illust,-22,-12,100
scene_pvp_result,chr_illust_p,20,156,94
