scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-20,4,50
scene_home_full_shot,chr_illust_p,-10,-8,50
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-26,42,84
scene_home_medium_shot,chr_illust_p,-4,176,84
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,0,90,88
scene_purge3,chr_illust_p,-36,76,88
scene_purge2,chr_illust_p,-32,74,88
scene_purge1,chr_illust_p,-22,60,94
scene_adv,chr_illust,-32,-200,90
scene_adv,chr_illust_p,-6,-56,90
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,-32,64
scene_gift,chr_illust,-16,34,72
scene_syousai,chr_illust,-16,34,72
scene_skill,chr_illust,-26,50,88
scene_skill,chr_illust_p,-2,188,82
scene_chr_episode,chr_illust,-12,42,74
scene_gata_syousai,chr_illust,-14,2,44
scene_gata_syousai,chr_illust_p,-8,24,46
scene_battle_result_1,chr_illust,-24,50,88
scene_battle_result_2,chr_illust,-20,42,70
scene_battle_result_3,chr_illust,-26,40,70
scene_battle_result_4,chr_illust,-24,40,70
scene_load,chr_illust,-12,26,44
scene_kakusei,chr_illust,-16,34,72
scene_login,chr_illust,-18,42,70
scene_pvp_player,chr_illust,-24,50,88
scene_pvp_rival,chr_illust,-30,50,88
scene_pvp_result,chr_illust,-20,50,88
scene_pvp_result,chr_illust_p,2,170,88
