scene,layer,x,y,scale
scene_home_full_shot,chr_illust,8,0,52
scene_home_full_shot,chr_illust_p,10,0,52
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,0,36,98
scene_home_medium_shot,chr_illust_p,0,34,98
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,0,-26,92
scene_purge3,chr_illust_p,-42,-28,92
scene_purge2,chr_illust_p,-40,-42,96
scene_purge1,chr_illust_p,-14,-50,100
scene_adv,chr_illust,-2,-196,100
scene_adv,chr_illust_p,0,-196,100
scene_kakudai,chr_illust,0,0,62
scene_kakudai,chr_illust_p,0,0,62
scene_gift,chr_illust,0,28,84
scene_syousai,chr_illust,0,28,84
scene_skill,chr_illust,0,50,100
scene_skill,chr_illust_p,0,46,100
scene_chr_episode,chr_illust,8,34,86
scene_gata_syousai,chr_illust,-4,12,52
scene_gata_syousai,chr_illust_p,-4,8,52
scene_battle_result_1,chr_illust,2,50,100
scene_battle_result_2,chr_illust,0,28,84
scene_battle_result_3,chr_illust,-6,28,84
scene_battle_result_4,chr_illust,-4,28,84
scene_load,chr_illust,-2,18,52
scene_kakusei,chr_illust,0,28,84
scene_login,chr_illust,0,28,80
scene_pvp_player,chr_illust,0,48,100
scene_pvp_rival,chr_illust,0,48,100
scene_pvp_result,chr_illust,4,48,100
scene_pvp_result,chr_illust_p,6,46,100
