scene,layer,x,y,scale
scene_home_full_shot,chr_illust,-8,-6,50
scene_home_full_shot,chr_illust_p,-18,-34,52
scene_home_bust_shot,chr_illust,0,0,100
scene_home_bust_shot,chr_illust_p,14,38,100
scene_home_medium_shot,chr_illust,-20,28,94
scene_home_medium_shot,chr_illust_p,-36,38,94
scene_battle,chr_illust,0,0,60
scene_battle,chr_illust_p,14,60,50
scene_purge4,chr_illust_p,-12,-16,90
scene_purge3,chr_illust_p,-46,-28,90
scene_purge2,chr_illust_p,-44,-28,90
scene_purge1,chr_illust_p,-40,-32,92
scene_adv,chr_illust,-18,-206,96
scene_adv,chr_illust_p,-36,-204,98
scene_kakudai,chr_illust,0,0,60
scene_kakudai,chr_illust_p,0,0,60
scene_gift,chr_illust,-14,32,76
scene_syousai,chr_illust,-14,32,76
scene_skill,chr_illust,-20,34,98
scene_skill,chr_illust_p,-40,46,98
scene_chr_episode,chr_illust,-12,30,82
scene_gata_syousai,chr_illust,-10,0,48
scene_gata_syousai,chr_illust_p,-22,-16,48
scene_battle_result_1,chr_illust,-18,42,96
scene_battle_result_2,chr_illust,-8,30,78
scene_battle_result_3,chr_illust,-14,28,78
scene_battle_result_4,chr_illust,-14,32,76
scene_load,chr_illust,-10,10,48
scene_kakusei,chr_illust,-14,32,76
scene_login,chr_illust,-14,32,78
scene_pvp_player,chr_illust,-26,44,96
scene_pvp_rival,chr_illust,-16,44,96
scene_pvp_result,chr_illust,-16,42,96
scene_pvp_result,chr_illust_p,-24,50,96
